ordinal,column_name,data_type,is_nullable,default,is_primary_key,is_unique,is_foreign_key,fk_reference,comment
1,id,uuid,False,gen_random_uuid(),True,False,False,,
2,user_id,uuid,False,,False,False,True,public.users.id,
3,role_id,uuid,False,,False,False,True,public.roles.id,
4,is_primary,boolean,False,false,False,False,False,,
5,assigned_at,timestamp with time zone,False,CURRENT_TIMESTAMP,False,False,False,,
6,assigned_by,uuid,True,,False,False,True,public.users.id,
7,valid_from,timestamp with time zone,False,CURRENT_TIMESTAMP,False,False,False,,
8,valid_until,timestamp with time zone,True,,False,False,False,,
9,created_at,timestamp with time zone,False,CURRENT_TIMESTAMP,False,False,False,,
10,role_type,character varying(20),False,'main'::character varying,False,False,False,,
