ordinal,column_name,data_type,is_nullable,default,is_primary_key,is_unique,is_foreign_key,fk_reference,comment
1,id,uuid,False,gen_random_uuid(),True,False,False,,
2,user_id,uuid,False,,False,False,True,public.users.id,
3,account_group_id,uuid,False,,False,False,True,public.mt5_account_groups.id,
4,title,character varying(150),True,,False,False,False,,
5,server_name,character varying(150),True,,False,False,False,,
6,login,bigint,False,,False,False,False,,
7,currency_digits,smallint,True,,False,False,False,,
8,balance,"numeric(18,2)",True,,False,False,False,,
9,credit,"numeric(18,2)",True,,False,False,False,,
10,margin,"numeric(18,2)",True,,False,False,False,,
11,margin_free,"numeric(18,2)",True,,False,False,False,,
12,margin_level,"numeric(18,2)",True,,False,False,False,,
13,margin_leverage,integer,True,,False,False,False,,
14,margin_initial,"numeric(18,2)",True,,False,False,False,,
15,margin_maintenance,"numeric(18,2)",True,,False,False,False,,
16,profit,"numeric(18,2)",True,,False,False,False,,
17,swap,"numeric(18,2)",True,,False,False,False,,
18,floating,"numeric(18,2)",True,,False,False,False,,
19,equity,"numeric(18,2)",True,,False,False,False,,
20,assets,"numeric(18,2)",True,,False,False,False,,
21,liabilities,"numeric(18,2)",True,,False,False,False,,
22,blocked_commission,"numeric(18,2)",True,,False,False,False,,
23,blocked_profit,"numeric(18,2)",True,,False,False,False,,
24,created_at,timestamp with time zone,False,CURRENT_TIMESTAMP,False,False,False,,
25,updated_at,timestamp with time zone,False,CURRENT_TIMESTAMP,False,False,False,,
26,created_by,uuid,True,,False,False,True,public.users.id,
27,updated_by,uuid,True,,False,False,True,public.users.id,
28,ledger_account_id,character varying(100),True,,False,False,False,,
