ordinal,column_name,data_type,is_nullable,default,is_primary_key,is_unique,is_foreign_key,fk_reference,comment
1,id,uuid,False,gen_random_uuid(),True,False,False,,
2,user_id,uuid,False,,False,False,True,public.users.id,
3,account_id,uuid,False,,False,False,True,public.mt5_accounts.id,
4,expert_id,bigint,True,,False,False,False,,
5,expert_position_id,integer,True,,False,False,False,,
6,external_id,integer,True,,False,False,False,,
7,position,bigint,False,,False,False,False,,
8,login,bigint,False,,False,False,False,,
9,action,character varying(50),True,,False,False,False,,
10,digits,smallint,True,,False,False,False,,
11,digits_currency,smallint,True,,False,False,False,,
12,reason,character varying(50),True,,False,False,False,,
13,contract_size,integer,True,,False,False,False,,
14,time_create,bigint,True,,False,False,False,,
15,time_update,bigint,True,,False,False,False,,
16,time_create_msc,bigint,True,,False,False,False,,
17,time_update_msc,bigint,True,,False,False,False,,
18,modify_flags,character varying(50),True,,False,False,False,,
19,price_open,"numeric(18,6)",True,,False,False,False,,
20,price_current,"numeric(18,6)",True,,False,False,False,,
21,price_sl,"numeric(18,6)",True,,False,False,False,,
22,price_tp,"numeric(18,6)",True,,False,False,False,,
23,volume,integer,True,,False,False,False,,
24,volume_ext,bigint,True,,False,False,False,,
25,profit,"numeric(18,2)",True,,False,False,False,,
26,swap,"numeric(18,2)",True,,False,False,False,,
27,rate_profit,"numeric(18,8)",True,,False,False,False,,
28,rate_margin,"numeric(18,8)",True,,False,False,False,,
29,comment,text,True,,False,False,False,,
30,dealer,integer,True,,False,False,False,,
31,symbol,character varying(100),True,,False,False,False,,
32,created_at,timestamp with time zone,False,CURRENT_TIMESTAMP,False,False,False,,
33,updated_at,timestamp with time zone,False,CURRENT_TIMESTAMP,False,False,False,,
34,created_by,uuid,True,,False,False,True,public.users.id,
35,updated_by,uuid,True,,False,False,True,public.users.id,
