ordinal,column_name,data_type,is_nullable,default,is_primary_key,is_unique,is_foreign_key,fk_reference,comment
1,id,uuid,False,gen_random_uuid(),True,False,False,,
2,user_id,uuid,True,,False,False,True,public.users.id,
3,session_id,uuid,True,,False,False,True,public.user_sessions.id,
4,resource_id,uuid,True,,False,False,False,,
5,ip_address,character varying(50),True,,False,False,False,,
6,user_agent,text,True,,False,False,False,,
7,action,character varying(100),False,,False,False,False,,
8,resource_type,character varying(50),True,,False,False,False,,
9,old_values,jsonb,True,,False,False,False,,
10,new_values,jsonb,True,,False,False,False,,
11,metadata,jsonb,True,,False,False,False,,
12,success,boolean,False,,False,False,False,,
13,error_message,text,True,,False,False,False,,
14,created_at,timestamp with time zone,False,CURRENT_TIMESTAMP,False,False,False,,
